entity_id,review_id,clause,sentence_original,term,opinion,category,top3_sim,score_table,polarity,polarity_scores
3000584,9672019_R8,compared to the neighborhood,room's good compared to the neighborhood.,,,Loyalty,"[('Amenity', 0.11692482233047485), ('Facility', 0.0817776769399643), ('Loyalty', 0.06251658499240875)]","   category     score
0   Loyalty  0.400638
1  Facility  0.346994
2   Amenity  0.252368",Neutral,"{'Neutral': 0.46267032623291016, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R15,with your family,perfect place to stay with your family,,,Loyalty,"[('Amenity', 0.0401393286883831), ('Loyalty', 0.030169690027832985), ('Facility', 0.029528163373470306)]","   category     score
0   Loyalty  0.361602
1  Facility  0.357097
2   Amenity  0.281302",Positive,"{'Positive': 0.7212537527084351, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,the chilling new subway line,view over the city center and the chilling new subway line.,subway line,chilling,Service,"[('Facility', 0.16090857982635498), ('Branding', 0.10614296048879623), ('Service', 0.08969758450984955)]","   category    score
0   Service  0.71713
1  Branding  0.24013
2  Facility  0.04274",Negative,"{'Negative': 0.9461781978607178, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,it's near the subway station,it's near the subway station. it's easy to get to the castle.,subway station,,Service,"[('Facility', 0.34602275490760803), ('Service', 0.1196606233716011), ('Amenity', 0.11031368374824524)]","   category     score
0   Service  0.892451
1   Amenity  0.060053
2  Facility  0.047496",Neutral,"{'Neutral': 0.6671194434165955, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R1,the host was so friendly,"the host was so friendly, i got back to the hotel around 1 00 a.m. and he was still waiting for me to show him how to check in.",host,friendly,Service,"[('Service', 0.18022112548351288), ('Experience', 0.1741863191127777), ('Facility', 0.1546560674905777)]","     category     score
0     Service  0.857613
1    Facility  0.079354
2  Experience  0.063033",Positive,"{'Positive': 0.9854769110679626, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,i got back to the hotel around 1 00 a.m. and he was still waiting for me to show him how to check in,"the host was so friendly, i got back to the hotel around 1 00 a.m. and he was still waiting for me to show him how to check in.",,,Service,"[('Facility', 0.22910167276859283), ('Service', 0.2177666425704956), ('Experience', 0.1870286911725998)]","     category     score
0     Service  0.895700
1  Experience  0.062742
2    Facility  0.041558",Negative,"{'Negative': 0.8263994455337524, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R1,"no, you didn't.","no, you didn't.",,,Service,"[('Loyalty', -0.018837548792362213), ('Service', -0.051278118044137955), ('Experience', -0.08189676702022552)]","     category     score
0     Service  0.821516
1  Experience  0.090542
2     Loyalty  0.087942",Negative,"{'Negative': 0.5804211497306824, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,sweet,"the owner is enthusiastic, sweet, fully furnished, loves the big screen tv.",,sweet,Service,"[('Loyalty', 0.04151415824890137), ('Service', 0.015184974297881126), ('Amenity', -0.006346844136714935)]","  category    score
0  Service  0.83695
1  Loyalty  0.08605
2  Amenity  0.07700",Positive,"{'Positive': 0.987117350101471, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,fully furnished,"the owner is enthusiastic, sweet, fully furnished, loves the big screen tv.",,fully furnished,Service,"[('Facility', 0.3234848082065582), ('Service', 0.18175402283668518), ('Amenity', 0.16465294361114502)]","   category     score
0   Service  0.854289
1  Facility  0.085814
2   Amenity  0.059898",Positive,"{'Positive': 0.9943655729293823, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R2,that's great.,that's great.,,great,Service,"[('Service', -0.018681131303310394), ('Facility', -0.03457829728722572), ('Loyalty', -0.03502579778432846)]","   category     score
0   Service  0.849680
1  Facility  0.082891
2   Loyalty  0.067429",Positive,"{'Positive': 0.8875041007995605, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R3,very good,very good,,very good,Service,"[('Service', 0.05970337986946106), ('Loyalty', 0.05067893862724304), ('Facility', -0.004613127559423447)]","   category     score
0   Service  0.842597
1  Facility  0.093192
2   Loyalty  0.064211",Positive,"{'Positive': 0.9977272152900696, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R3,i'm not doing anything.,i'm not doing anything.,,,Service,"[('Amenity', 0.02785150147974491), ('Service', 0.024521613493561745), ('Loyalty', -0.006296929903328419)]","  category     score
0  Service  0.814310
1  Loyalty  0.095547
2  Amenity  0.090143",Positive,"{'Positive': 0.6986555457115173, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R4,there's a washing machine,"there's a washing machine, a clothes dryer, a hair dryer, a sewing machine.",washing machine,,Service,"[('Facility', 0.12235382199287415), ('Amenity', 0.06159404665231705), ('Service', -0.0031257309019565582)]","   category     score
0   Service  0.783788
1   Amenity  0.145707
2  Facility  0.070505",Neutral,"{'Neutral': 0.9408980011940002, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R4,a sewing machine,"there's a washing machine, a clothes dryer, a hair dryer, a sewing machine.",sewing machine,,Service,"[('Facility', 0.12546195089817047), ('Amenity', 0.025258177891373634), ('Service', -0.0049032047390937805)]","   category     score
0   Service  0.855371
1   Amenity  0.106973
2  Facility  0.037656",Neutral,"{'Neutral': 0.9400410056114197, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R4,mr. dinh has been supporting his family for the past two days.,mr. dinh has been supporting his family for the past two days.,,,Service,"[('Loyalty', 0.07164446264505386), ('Service', 0.032541509717702866), ('Facility', -0.013450182974338531)]","   category     score
0   Service  0.869284
1  Facility  0.069881
2   Loyalty  0.060836",Neutral,"{'Neutral': 0.8231107592582703, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R5,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R5,it's fully equipped.,it's fully equipped.,,fully equipped,Service,"[('Facility', 0.11211445182561874), ('Amenity', 0.0586741678416729), ('Service', 0.013210093602538109)]","   category     score
0   Service  0.873182
1  Facility  0.074964
2   Amenity  0.051854",Positive,"{'Positive': 0.9225491881370544, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R6,clean will full furnishings your master is very enthusiastic.,clean will full furnishings your master is very enthusiastic.,,"clean, enthusiastic",Service,"[('Facility', 0.2042580097913742), ('Amenity', 0.14016182720661163), ('Service', 0.1366329789161682)]","   category     score
0   Service  0.885022
1   Amenity  0.071616
2  Facility  0.043362",Positive,"{'Positive': 0.9250133037567139, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R6,"no, you didn't.","no, you didn't.",,,Service,"[('Loyalty', -0.018837548792362213), ('Service', -0.051278118044137955), ('Experience', -0.08189676702022552)]","     category     score
0     Service  0.821516
1  Experience  0.090542
2     Loyalty  0.087942",Negative,"{'Negative': 0.5804211497306824, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R7,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R7,we've got all the equipment we need.,we've got all the equipment we need.,,,Service,"[('Facility', 0.15547673404216766), ('Service', 0.09987226128578186), ('Amenity', 0.07242598384618759)]","   category     score
0   Service  0.905195
1   Amenity  0.053709
2  Facility  0.041096",Neutral,"{'Neutral': 0.7927919030189514, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R8,that's great!,that's great!,,great,Service,"[('Facility', -0.0098823681473732), ('Service', -0.01492900587618351), ('Loyalty', -0.03752022609114647)]","   category     score
0   Service  0.834898
1  Facility  0.094779
2   Loyalty  0.070323",Positive,"{'Positive': 0.9715206623077393, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R8,it's a bit old,"like the other rooms here, it's a bit old, but it's very well used.",,old,Service,"[('Loyalty', -0.029471414163708687), ('Experience', -0.052051201462745667), ('Service', -0.056000083684921265)]","     category     score
0     Service  0.813429
1  Experience  0.106908
2     Loyalty  0.079662",Negative,"{'Negative': 0.9038704037666321, 'Positive': 0.0, 'Neutral': 0.0}"
3000584,9672019_R8,but it's very well used,"like the other rooms here, it's a bit old, but it's very well used.",,very well used,Service,"[('Service', 0.056645698845386505), ('Facility', 0.04967357963323593), ('Loyalty', 0.04763844609260559)]","   category     score
0   Service  0.882855
1   Loyalty  0.066037
2  Facility  0.051107",Positive,"{'Positive': 0.6301639676094055, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R8,room's good,room's good compared to the neighborhood.,room,good,Service,"[('Facility', 0.40425676107406616), ('Experience', 0.24650508165359497), ('Service', 0.1704663783311844)]","     category     score
0     Service  0.846683
1  Experience  0.082100
2    Facility  0.071217",Positive,"{'Positive': 0.984312117099762, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R9,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R9,nice.,nice.,,nice,Service,"[('Service', 0.009165859781205654), ('Loyalty', -0.0010151551105082035), ('Facility', -0.020651349797844887)]","   category     score
0   Service  0.823013
1  Facility  0.096700
2   Loyalty  0.080286",Positive,"{'Positive': 0.9640445709228516, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R10,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,the lounge is clean.,the lounge is clean.,lounge,clean,Service,"[('Facility', 0.4044837951660156), ('Service', 0.29012006521224976), ('Amenity', 0.2674485445022583)]","   category     score
0   Service  0.906366
1  Facility  0.048338
2   Amenity  0.045296",Positive,"{'Positive': 0.7481247186660767, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,loaded with all the equipment we need.,loaded with all the equipment we need.,,loaded,Service,"[('Facility', 0.11115004867315292), ('Service', 0.03841818496584892), ('Amenity', 0.0360928550362587)]","   category     score
0   Service  0.899031
1   Amenity  0.066352
2  Facility  0.034617",Positive,"{'Positive': 0.5850648283958435, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,the staff is very enthusiastic,"the staff is very enthusiastic, supportive all the time, everywhere.",staff,very enthusiastic,Service,"[('Facility', 0.2833116054534912), ('Service', 0.2559843063354492), ('Amenity', 0.15131790935993195)]","   category     score
0   Service  0.910971
1  Facility  0.061023
2   Amenity  0.028006",Positive,"{'Positive': 0.9903678894042969, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,supportive all the time,"the staff is very enthusiastic, supportive all the time, everywhere.",,supportive,Service,"[('Loyalty', 0.13671857118606567), ('Service', 0.024893052875995636), ('Facility', -0.002889650873839855)]","   category     score
0   Service  0.856086
1   Loyalty  0.076309
2  Facility  0.067605",Positive,"{'Positive': 0.9949294328689575, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R11,everywhere,"the staff is very enthusiastic, supportive all the time, everywhere.",,,Service,"[('Facility', 0.1003018468618393), ('Amenity', 0.04582478106021881), ('Service', -0.008869165554642677)]","   category     score
0   Service  0.845348
1  Facility  0.090894
2   Amenity  0.063758",Neutral,"{'Neutral': 0.9408624172210693, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R11,i'll be back,i'll be back if i get the chance.,,,Service,"[('Loyalty', 0.1349344551563263), ('Amenity', 0.039504051208496094), ('Service', 0.034897033125162125)]","  category     score
0  Service  0.824550
1  Loyalty  0.089528
2  Amenity  0.085922",Neutral,"{'Neutral': 0.6571319699287415, 'Positive': 0.0, 'Negative': 0.0}"
3000584,9672019_R11,if i get the chance,i'll be back if i get the chance.,,,Service,"[('Loyalty', -0.009525216184556484), ('Service', -0.04960012808442116), ('Amenity', -0.05004176124930382)]","  category     score
0  Service  0.854002
1  Amenity  0.079755
2  Loyalty  0.066243",Positive,"{'Positive': 0.6567550897598267, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R12,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R12,clean,"clean, comfortable, with a nice view.",,clean,Service,"[('Service', 0.06494154036045074), ('Loyalty', 0.06154252961277962), ('Branding', 0.030683526769280434)]","   category     score
0   Service  0.731628
1  Branding  0.190414
2   Loyalty  0.077957",Positive,"{'Positive': 0.9831768274307251, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R12,comfortable,"clean, comfortable, with a nice view.",,comfortable,Service,"[('Experience', 0.149553582072258), ('Facility', 0.1104011982679367), ('Service', 0.07774056494235992)]","     category     score
0     Service  0.825849
1    Facility  0.111607
2  Experience  0.062543",Positive,"{'Positive': 0.9959473013877869, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,very good.,very good.,,good,Service,"[('Service', 0.05774358659982681), ('Loyalty', 0.04291031137108803), ('Facility', -0.007468335330486298)]","   category     score
0   Service  0.853610
1  Facility  0.082089
2   Loyalty  0.064301",Positive,"{'Positive': 0.991111695766449, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,diny was very kind,diny was very kind and helpful all the time.,diny,very kind,Service,"[('Service', 0.1675349771976471), ('Experience', 0.09449707716703415), ('Loyalty', 0.05749190226197243)]","     category     score
0     Service  0.878011
1  Experience  0.071545
2     Loyalty  0.050444",Positive,"{'Positive': 0.983119785785675, 'Negative': 0.0, 'Neutral': 0.0}"
3000584,9672019_R13,and helpful all the time,diny was very kind and helpful all the time.,,"helpful, all the time",Service,"[('Service', 0.07176841050386429), ('Loyalty', 0.06725406646728516), ('Facility', 0.04146065562963486)]","   category     score
0   Service  0.869753
1   Loyalty  0.069056
2  Facility  0.061191",Positive,"{'Positive': 0.9973002076148987, 'Negative': 0.0, 'Neutral': 0.0}"
