sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score,
85,we would recommend him and this accomodation to anyone,to anyone,,,Service,Neutral,0.9103,
86,hope to stay again in the future thank you diny,hope to stay again in the future,,hope to stay,Loyalty,Positive,0.9721,
86,hope to stay again in the future thank you diny,thank you diny,,thank you,Service,Positive,0.9274,
88,great stay,great stay,stay,great,Experience,Positive,0.995,
90,decorated the room for us which was nice and the pool on the top had a fantastic view,decorated the room for us which was nice,room,nice,Facility,Positive,0.9843,
90,decorated the room for us which was nice and the pool on the top had a fantastic view,the pool on the top had a fantastic view,pool,fantastic,Facility,Positive,0.9537,
91,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
92,very good,very good,,very good,Experience,Positive,0.9977,
93,host was very responsive and kind to let me check in early,host was very responsive,host,very responsive,Service,Positive,0.9941,
93,host was very responsive and kind to let me check in early,host was kind to let me check in early,host,kind,Service,Positive,0.966,
94,it was very clean had a great view and a very nice pool,it was very clean,,very clean,Facility,Positive,0.9962,
94,it was very clean had a great view and a very nice pool,had a great view,view,great,Experience,Positive,0.989,
94,it was very clean had a great view and a very nice pool,a very nice pool,pool,very nice,Facility,Positive,0.9925,
95,a lot of food options around and 2 stores inside the building,a lot of food options around,food options,a lot,Amenity,Positive,0.8964,
95,a lot of food options around and 2 stores inside the building,2 stores inside the building,stores,inside,Amenity,Positive,0.9806,
96,excellent apartment and host,excellent apartment,apartment,excellent,Branding,Positive,0.9886,
96,excellent apartment and host,host,host,,Service,Neutral,0.9148,
98,the opera house war remnants museum and the post office were about a 40 minute walk,the opera house war remnants museum and the post office were about a 40 minute walk,"museum,post office",,Amenity,Negative,0.5827,
99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,the host was really attentive,host,attentive,Service,Positive,0.9957,
99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,met us at the apartment,"host, aparment",,Service,Positive,0.8282,
99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,even though we were 5 hours delayed,host,,Service,Positive,0.9436,
99,the host was really attentive met us at the apartment even though we were 5 hours delayed walked us up to the room to show us the facilities,walked us up to the room to show us the facilities,"host,facilities",,Service,Positive,0.9281,
100,he even sent me a whatsapp with local food and drink places,he even sent me a whatsapp with local food and drink places,,,Service,Positive,0.8138,
102,as did the pool it was a good place to cool down on hot days even though it is in the shade,as did the pool,pool,,Facility,Positive,0.5483,
102,as did the pool it was a good place to cool down on hot days even though it is in the shade,it was a good place to cool down on hot days,pool,good,Branding,Positive,0.9752,
102,as did the pool it was a good place to cool down on hot days even though it is in the shade,even though it is in the shade,"pool, shade",,Amenity,Positive,0.6437,
103,i highly recommend this apartment and the host,i highly recommend this apartment and the host,"apartment,host",highly recommend,Loyalty,Positive,0.9968,
104,all was excellent and we would book again if we were to go to ho chi minh in the future,all was excellent and we would book again if we were to go to ho chi minh in the future,,excellent,Loyalty,Positive,0.9807,
105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,we thought the bed was so hard,bed,hard,Facility,Negative,0.942,
105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,even gave me a number hip in the night,,hip,Facility,Positive,0.7788,
105,we thought the bed was so hard even gave me a number hip in the night and the pillows too,the pillows too,pillows,,Facility,Neutral,0.5086,
106,ended up sleeping with a cushion from the sofa,ended up sleeping with a cushion from the sofa,sofa,,Experience,Negative,0.5306,
107,apart from that all was good,apart from that,,,Amenity,Neutral,0.496,
107,apart from that all was good,all was good,,good,Experience,Positive,0.7708,
108,very helpful host,very helpful host,host,very helpful,Service,Positive,0.9233,
110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,diny was extremely helpful,,extremely helpful,Service,Positive,0.985,
110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,gave great recommendations for food shopping,"recommendations, food shopping",great,Loyalty,Positive,0.9769,
110,diny was extremely helpful and gave great recommendations for food shopping and let us leave our bags after check out,let us leave our bags after check out,,,Service,Positive,0.7576,
113,added bonus was meeting the owner who provided us with information on the area by whatsapp,added bonus was meeting the owner who provided us with information on the area by whatsapp,"owner, area",provided,Service,Positive,0.9639,
114,great stay and will be back,great stay,stay,great,Experience,Positive,0.995,
114,great stay and will be back,will be back,,,Loyalty,Positive,0.865,
115,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
116,happy stay and will come back in the future,happy stay,stay,happy,Experience,Positive,0.9676,
116,happy stay and will come back in the future,will come back in the future,,,Loyalty,Positive,0.7738,
117,the host contacted me a few days before my arrival and meet me at the apartment lobby,the host contacted me a few days before my arrival,host,contacted,Service,Positive,0.8347,
117,the host contacted me a few days before my arrival and meet me at the apartment lobby,meet me at the apartment lobby,apartment,,Service,Positive,0.7814,
118,the check in is extremely smooth,the check in is extremely smooth,check in,extremely smooth,Service,Positive,0.9862,
119,everything is good,everything is good,,good,Experience,Positive,0.9886,
120,great location beautiful views and excellent host,great location,location,great,Amenity,Positive,0.9776,
120,great location beautiful views and excellent host,beautiful views,views,beautiful,Experience,Positive,0.9944,
120,great location beautiful views and excellent host,excellent host,host,excellent,Service,Positive,0.9908,
122,we really liked the location just outside the bustling city center but with everything accessible within minutes by grab,we really liked the location just outside the bustling city center,"location, city center",liked,Amenity,Positive,0.9553,
122,we really liked the location just outside the bustling city center but with everything accessible within minutes by grab,with everything accessible within minutes by grab,,accessible,Amenity,Positive,0.9548,
123,the rooftop pool is truly magical especially in the evenings when the city lights create a spectacular backdrop,the rooftop pool is truly magical,rooftop pool,truly magical,Facility,Positive,0.9785,
123,the rooftop pool is truly magical especially in the evenings when the city lights create a spectacular backdrop,especially in the evenings when the city lights create a spectacular backdrop,city lights,spectacular,Experience,Positive,0.9507,
125,among all hosts during our three week vietnam journey his hospitality was unmatched,among all hosts during our three week vietnam journey his hospitality was unmatched,"hosts, hospitality",unmatched,Service,Positive,0.97,
126,he told us about all interesting spots and was always available within seconds for any question,he told us about all interesting spots,spots,interesting,Service,Positive,0.9738,
126,he told us about all interesting spots and was always available within seconds for any question,was always available within seconds for any question,,available,Service,Positive,0.9839,
127,it s no wonder we chose to return for a second stay towards the end of our trip,it s no wonder we chose to return for a second stay towards the end of our trip,"stay, trip","no wonder, chose to return",Loyalty,Negative,0.4681,
128,for anyone visiting hcmc we cannot recommend diny s aparthotel highly enough,for anyone visiting hcmc we cannot recommend diny s aparthotel highly enough,aparthotel,highly enough,Loyalty,Positive,0.9684,
129,a relaxing stay,a relaxing stay,stay,relaxing,Experience,Positive,0.9954,
130,manager host was very friendly and helpful,manager host was very friendly,manager host,very friendly,Service,Positive,0.9875,
130,manager host was very friendly and helpful,manager host was very helpful,manager host,very helpful,Service,Positive,0.9773,
131,the view from the room was great,the view from the room was great,"view, room",great,Experience,Positive,0.986,
134,i didn t have to apply sunblock because there wasn t much sun in the afternoon,i didn t have to apply sunblock because there wasn t much sun in the afternoon,sun,,Experience,Positive,0.6332,
136,excellent value for a stay in an upscale neighborhood in the heart of saigon,excellent value for a stay in an upscale neighborhood in the heart of saigon,"value, stay, neighborhood","excellent, upscale",Amenity,Positive,0.9714,
138,unbeatable location clean,unbeatable location,location,unbeatable,Amenity,Positive,0.992,
138,unbeatable location clean,clean,,clean,Facility,Positive,0.9832,
139,functional rooms that suits my type,functional rooms that suits my type,rooms,suits,Facility,Positive,0.9757,
141,it was nothing,it was nothing,,,Branding,Neutral,0.6409,
143,nada,nada,,,Experience,Neutral,0.8895,
144,perfect place to stay in oh chi minh city,perfect place to stay in oh chi minh city,place,perfect,Branding,Positive,0.9905,
146,from the moment we arrived till when we left the apartments the owner is very kind and helpful,from the moment we arrived till when we left the apartments the owner is very kind and helpful,"apartments, owner","very kind, helpful",Service,Positive,0.9458,
147,thanks for keeping our luggage till late,thanks for keeping our luggage till late,,late,Service,Positive,0.9325,
148,the apartment is very clean with all the comfort and well equipped,the apartment is very clean,apartment,very clean,Facility,Positive,0.9964,
148,the apartment is very clean with all the comfort and well equipped,with all the comfort,comfort,comfort,Facility,Positive,0.995,
148,the apartment is very clean with all the comfort and well equipped,and well equipped,,well equipped,Facility,Positive,0.9942,
149,the 7 11 on the ground floor is a plus,the 7 11 on the ground floor is a plus,7 11,a plus,Amenity,Positive,0.8159,
151,place is nice and the owner is great helper,place is nice,place,nice,Branding,Positive,0.9922,
151,place is nice and the owner is great helper,the owner is great helper,owner,great helper,Service,Positive,0.9874,
152,safe and quite,safe and quite,,"safe, quite",Amenity,Positive,0.9958,
153,perfect sport in saigon,perfect sport in saigon,sport,perfect,Amenity,Positive,0.9187,
155,the host was very helpful and checked in on us during our stay,the host was very helpful,host,very helpful,Service,Positive,0.9881,
155,the host was very helpful and checked in on us during our stay,checked in on us during our stay,host,,Service,Positive,0.8083,
156,he was very kind letting us check out late due to a late flight,he was very kind,,very kind,Service,Positive,0.9944,
156,he was very kind letting us check out late due to a late flight,letting us check out late due to a late flight,,late,Amenity,Negative,0.9165,
157,the facilities at the manor 2 were perfect for a weeks stay,the facilities at the manor 2 were perfect for a weeks stay,facilities,perfect,Facility,Positive,0.9844,
160,the views however were incredible,the views however were incredible,views,incredible,Experience,Positive,0.9398,
161,great location with 2 minimarkets close by for essentials,great location,location,great,Amenity,Positive,0.9776,
161,great location with 2 minimarkets close by for essentials,2 minimarkets close by for essentials,minimarkets,close by,Amenity,Neutral,0.8621,
162,the photos are exactly how the place looks as well,the photos are exactly how the place looks as well,photos,exactly how the place looks as well,Experience,Positive,0.9885,
166,rooftop pool is gorgeous and a great place to relax in the morning,rooftop pool is gorgeous,rooftop pool,gorgeous,Facility,Positive,0.9774,
166,rooftop pool is gorgeous and a great place to relax in the morning,a great place to relax in the morning,rooftop pool,great,Branding,Positive,0.9911,
168,the host was extremely kind and accommodating,the host was extremely kind,host,extremely kind,Service,Positive,0.9893,
168,the host was extremely kind and accommodating,the host was extremely accommodating,host,,Service,Positive,0.9937,
169,room is a bit small but fine for two people,room is a bit small,room,small,Facility,Negative,0.9386,
169,room is a bit small but fine for two people,fine for two people,room,,Facility,Neutral,0.5933,
170,overall it was good value for hcmc,overall it was good value for hcmc,value,good value,Branding,Positive,0.9047,
171,definitely place to stay,definitely place to stay,,definitely,Branding,Positive,0.9974,
172,great hospitality and room was neet and cozy as well,great hospitality,,great,Service,Positive,0.9931,
172,great hospitality and room was neet and cozy as well,room was neet and cozy as well,room,"neet, cozy",Facility,Positive,0.998,
173,very good,very good,,very good,Experience,Positive,0.9977,
174,the hotel is really nice and clean,the hotel is really nice,hotel,nice,Branding,Positive,0.993,
174,the hotel is really nice and clean,the hotel is really clean,hotel,clean,Facility,Positive,0.9933,
175,the location is great too,the location is great too,location,great,Amenity,Positive,0.9565,
177,recommended,recommended,,recommended,Loyalty,Positive,0.9882,
178,most amazing stay beautiful apartment good acnice,most amazing stay,stay,amazing,Experience,Positive,0.9957,
178,most amazing stay beautiful apartment good acnice,beautiful apartment,apartment,beautiful,Branding,Positive,0.9934,
178,most amazing stay beautiful apartment good acnice,good acnice,acnice,good,Branding,Positive,0.9976,
179,everything,everything,,,Experience,Positive,0.9638,
182,with,with,,,Service,Neutral,0.9315,
185,host is gracious kind and speaks great english unusual in the city,host is gracious kind and speaks great english,host,"gracious, kind, speaks great english",Service,Positive,0.9921,
185,host is gracious kind and speaks great english unusual in the city,unusual in the city,host,,Amenity,Positive,0.6892,
187,calming and classy,calming and classy,,"calming, classy",Service,Positive,0.9948,
188,beautifully decorated and nice rooftop pool,beautifully decorated and nice rooftop pool,rooftop pool,"beatifully, nice",Facility,Positive,0.9968,
190,it was nothing,it was nothing,,,Branding,Neutral,0.6409,
191,it s fabulous,it s fabulous,,fabulous,Branding,Positive,0.9978,
192,the host is extremely friendly and helpful,the host is extremely friendly,host,extremely friendly,Service,Positive,0.9882,
192,the host is extremely friendly and helpful,the host is extremely helpful,host,helpful,Service,Positive,0.9817,
193,staying at this apartment was a wonderful experience,staying at this apartment was a wonderful experience,apartment,wonderful,Experience,Positive,0.9963,
194,the location is good with easy access to restaurants shops and public transportation,the location is good,location,good,Amenity,Positive,0.9895,
194,the location is good with easy access to restaurants shops and public transportation,easy access to restaurants,access to restaurants,easy,Amenity,Positive,0.979,
194,the location is good with easy access to restaurants shops and public transportation,easy access to shops,shops,easy,Amenity,Positive,0.9869,
194,the location is good with easy access to restaurants shops and public transportation,easy access to public transportation,public transportation,easy,Amenity,Positive,0.9834,
195,the apartment itself is spacious clean and have everything that you need,the apartment itself is spacious,apartment,spacious,Facility,Positive,0.9963,
195,the apartment itself is spacious clean and have everything that you need,clean,,clean,Facility,Positive,0.9832,
195,the apartment itself is spacious clean and have everything that you need,have everything that you need,,,Experience,Positive,0.9734,
196,we d definitely come back for next time,we d definitely come back for next time,,definitely,Loyalty,Positive,0.9825,
199,new old world saigon,new old world saigon,,new old,Branding,Neutral,0.7816,
201,in some ways it is starting to show its age in general wear and tear but the host here has done a wonderful job of restoring the place,in some ways it is starting to show its age in general wear and tear,,"age, wear and tear",Facility,Negative,0.9752,
201,in some ways it is starting to show its age in general wear and tear but the host here has done a wonderful job of restoring the place,the host here has done a wonderful job of restoring the place,"host, place",wonderful job,Service,Positive,0.9667,
204,any problems were immediately remedied by dinh,any problems were immediately remedied by dinh,problems,immediately remedied,Service,Positive,0.9391,
205,great stay awesome location,great stay,stay,great,Experience,Positive,0.995,
205,great stay awesome location,awesome location,location,awesome,Amenity,Positive,0.9814,
207,check in was a breeze,check in was a breeze,check in,breeze,Service,Positive,0.988,
208,we liked it so much we extended our stay,we liked it so much,,so much,Branding,Positive,0.9931,
208,we liked it so much we extended our stay,we extended our stay,stay,,Experience,Positive,0.8355,
209,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
210,it is fantastic value,it is fantastic value,value,fantastic,Branding,Positive,0.9937,
211,very good,very good,,very good,Experience,Positive,0.9977,
212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,excellent location,location,excellent,Amenity,Positive,0.9909,
212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,amazing view from the rooftop pool,"view, rooftop pool",amazing,Experience,Positive,0.9898,
212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,close to the city center,"location, city center",close,Amenity,Positive,0.8167,
212,excellent location amazing view from the rooftop pool close to the city center and right beside a neighbourhood with lots of local street food,right beside a neighbourhood with lots of local street food,neighbourhood,lots of local street food,Amenity,Positive,0.8116,
213,the owner was super helpful and friendly and the apartment was perfect,the owner was super helpful and friendly,owner,"super helpful, friendly",Service,Positive,0.9928,
213,the owner was super helpful and friendly and the apartment was perfect,the apartment was perfect,apartment,perfect,Branding,Positive,0.996,
214,good for family vacation,good for family vacation,family vacation,good,Experience,Positive,0.9727,
216,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
217,great for a short or extended stay in hcmc,great for a short or extended stay in hcmc,stay,great,Experience,Positive,0.7994,
219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,apartment is well appointed with cooking facilities,"apartment, facilities",well appointed,Branding,Positive,0.9937,
219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,a washing machine and dryer for an independent stay,"apartment, washing machine, dryer",,Facility,Positive,0.7738,
219,apartment is well appointed with cooking facilities a washing machine and dryer for an independent stay if you fancy that,if you fancy that,,,Loyalty,Neutral,0.957,
220,nice pool to cool off in,nice pool to cool off in,pool,nice,Facility,Positive,0.9899,
221,in the rear backstreets there s a neat local market street with some good eating spots recommend bun bo hue cuu long on vo duy ninh st,in the rear backstreets there s a neat local market street,market street,neat,Amenity,Positive,0.9078,
221,in the rear backstreets there s a neat local market street with some good eating spots recommend bun bo hue cuu long on vo duy ninh st,with some good eating spots,eating spots,good,Amenity,Positive,0.9527,
221,in the rear backstreets there s a neat local market street with some good eating spots recommend bun bo hue cuu long on vo duy ninh st,recommend bun bo hue cuu long on vo duy ninh st,bun bo hue cuu long,recommend,Loyalty,Positive,0.9953,
222,highly recommend for long stay trip feels like home,highly recommend for long stay trip,,highly recommend,Loyalty,Positive,0.9796,
222,highly recommend for long stay trip feels like home,feels like home,,feels like,Experience,Positive,0.991,
223,we enjoyed our 3 week stay at the apartment,we enjoyed our 3 week stay at the apartment,"stay, apartment",enjoyed,Experience,Positive,0.9789,
224,mr,mr<|im_end|>,,,Service,Neutral,0.8593,
225,dinh was super friendly and helpful from the start,dinh was super friendly and helpful from the start,,"friendly, helpful",Service,Positive,0.9942,
226,couldn t ask for more even though it wasn t on a high floor the city view was really nice,couldn t ask for more even though it wasn t on a high floor,,more,Service,Positive,0.9515,
226,couldn t ask for more even though it wasn t on a high floor the city view was really nice,the city view was really nice,view,nice,Experience,Positive,0.9914,
228,even the security guards from the management were helpful too,even the security guards from the management were helpful too,security,helpful,Amenity,Positive,0.9724,
230,stunning nightview from the rooftop pool,stunning nightview from the rooftop pool,"nightview, rooftop pool",stunning,Experience,Positive,0.8446,
231,very friendly and helpful host,very friendly and helpful host,host,"friendly, helpful",Service,Positive,0.9849,
232,100 trustworthy and reliable,100 trustworthy and reliable,,"trustworthy, reliable",Loyalty,Positive,0.9975,
233,very good communication,very good communication,communication,very good,Service,Positive,0.9947,
234,awesome location with stunning nightview and many shopping and dining facilities near by,awesome location,location,awesome,Amenity,Positive,0.9814,
234,awesome location with stunning nightview and many shopping and dining facilities near by,stunning nightview,nightview,stunning,Experience,Positive,0.9706,
234,awesome location with stunning nightview and many shopping and dining facilities near by,many shopping and dining facilities near by,"shopping,dining,facilities",near by,Amenity,Positive,0.9712,
235,would definitely come back,would definitely come back,,definitely come back,Loyalty,Positive,0.9872,
236,thanks for everything,thanks for everything,,thanks,Service,Positive,0.9784,
239,highly recommended place for your vacation,highly recommended place for your vacation,place,highly recommended,Loyalty,Positive,0.9957,
240,number of restaurant are limited around the proper,number of restaurant are limited around the proper,restaurant,limited,Amenity,Negative,0.9315,
242,very comfortable very quiet,very comfortable,,very comfortable,Experience,Positive,0.9973,
242,very comfortable very quiet,very quiet,,very quiet,Experience,Positive,0.9844,
244,friendly support and attention,friendly support and attention,,"friendly, support, attention",Service,Positive,0.9939,
246,very nice stay,very nice stay,stay,very nice,Experience,Positive,0.9958,
247,great apartment with all required bits like iron and cooking equipment,great apartment with all required bits like iron and cooking equipment,"apartment, equipment",great,Branding,Positive,0.9955,
249,dinh is a superamazing host who accomodated to all our requests,dinh is a superamazing host,host,superamazing,Service,Positive,0.99,
